id,phase_type,phase_identifier,description,timeline_reference,context,extraction_date
1,Technology Readiness Level,3-4,,,"sk 1: Quantum modeling (DFT, CWF) – $100K Task 2: DOE optimization (AI/HPC/Quantum) – $110K Task 3: TRL 3-4 prototype systems engineering – $190K Task 4: TRL 5-6 Lab integration – $110K Task 5: TRL 7 demo/LR",2025-11-04T13:11:53.730675
2,Technology Readiness Level,5-6,,,optimization (AI/HPC/Quantum) – $110K Task 3: TRL 3-4 prototype systems engineering – $190K Task 4: TRL 5-6 Lab integration – $110K Task 5: TRL 7 demo/LRIP manufacturing – $130K Task 6: TRL 8-9 validation an,2025-11-04T13:11:53.730675
3,Technology Readiness Level,7,,,sk 3: TRL 3-4 prototype systems engineering – $190K Task 4: TRL 5-6 Lab integration – $110K Task 5: TRL 7 demo/LRIP manufacturing – $130K Task 6: TRL 8-9 validation and FFF packaging – $130K Business Model,2025-11-04T13:11:53.730675
4,Technology Readiness Level,8-9,,,"$190K Task 4: TRL 5-6 Lab integration – $110K Task 5: TRL 7 demo/LRIP manufacturing – $130K Task 6: TRL 8-9 validation and FFF packaging – $130K Business Model & IP Strategy Licensing: Field-of-Use, Exclusiv",2025-11-04T13:11:53.730675
5,Technology Readiness Level,9,,,"DHS-designated sectors. This directive outlines the path from advanced material development through TRL 9 product integration, with commercial, government, and defense market penetration strategies. 2. Mis",2025-11-04T13:11:53.730675
6,Technology Readiness Level,6-9,,,"cate funding rounds aligned with NRE development phases. - Establish manufacturing partnerships for TRL 6-9 scaling. 4. Licensing & IP Commercialization Model Q-SMEC sensors are licensed per field of use, ge",2025-11-04T13:11:53.730675
7,Technology Readiness Level,3-4,,,"is includes: 
Task 1: Quantum Physics Modeling
Task 2: AI-Optimized DOE (6,561 simulations)
Task 3: TRL 3-4 Prototyping
Task 4: Beta Manufacturing & Integration
Task 5: Low-Rate Initial Production (MRL 7-8)",2025-11-04T13:11:53.730675
8,Development Phase,3,,,hnology Licensing Pitch Deck by adding more technical depth from the CII NIKET Q-SMEC white paper • Phase 3 & 4: Execute Pitches and Broader Fundraising. GOAL: Secure the manufacturing partnership and begin,2025-11-04T13:11:53.730675
9,Technology Readiness Level,4,,,"elerated). Customizable by sector/use case, with licensing model based on “Task 4+ instantiations” (TRL 4–9 readiness). Licensing structure allows exclusive/nonexclusive by sector, geography, or applicatio",2025-11-04T13:11:53.730675
10,Technology Readiness Level,1,,,"hip available for co-investors in development tasks. Non-Recurring Engineering (NRE): staged tasks (TRL 1–9), ~54 weeks cycle, ~$770K per use case instantiation. 5. Scope Boundaries The Q-SMEC IP claims ar",2025-11-04T13:11:53.730675
