id,spec_type,value,unit,context,source_document,extraction_date,confidence_level
1,year,2026,,instantiation project accepted every 2 months (H1 2026) Deep Analysis & Strategic Feedback Strengths: Ex,,2025-11-04T13:11:53.730675,medium
2,year,2025,,r Materials Adely@CII-International.com September 2025 TABLE OF CONTENTS: Background,,2025-11-04T13:11:53.730675,medium
3,year,2008,,"ectors through TTT Inc Holding Group between 1985-2008, US government contracting at the Raytheon Advanc",,2025-11-04T13:11:53.730675,medium
4,year,2008,,"Raytheon Advanced Technology Mission Area between 2008-2024, and Adjunct Faculty status in the College o",,2025-11-04T13:11:53.730675,medium
5,year,2024,,"eon Advanced Technology Mission Area between 2008-2024, and Adjunct Faculty status in the College of Eng",,2025-11-04T13:11:53.730675,medium
6,year,2012,,atus in the College of Engineering SIE Department 2012-2024. In the 2017-2020 he was part of a Raytheon,,2025-11-04T13:11:53.730675,medium
7,year,2024,,in the College of Engineering SIE Department 2012-2024. In the 2017-2020 he was part of a Raytheon infor,,2025-11-04T13:11:53.730675,medium
8,year,2017,,e of Engineering SIE Department 2012-2024. In the 2017-2020 he was part of a Raytheon informal team that,,2025-11-04T13:11:53.730675,medium
9,year,2020,,Engineering SIE Department 2012-2024. In the 2017-2020 he was part of a Raytheon informal team that led,,2025-11-04T13:11:53.730675,medium
10,year,2019,,"(RAMTDR) under US Patents 10,421,701 B2, Sept 24, 2019 and 10,703,692 B2, Jul 7, 2020 respectively (assi",,2025-11-04T13:11:53.730675,medium
11,year,2020,,"1,701 B2, Sept 24, 2019 and 10,703,692 B2, Jul 7, 2020 respectively (assigned to Raytheon Company) descr",,2025-11-04T13:11:53.730675,medium
12,year,2025,,"el (see Section D, NIKET NRE SOW) Derived through 2025 from Quantum Physics First principles, and utiliz",,2025-11-04T13:11:53.730675,medium
13,year,2025,,"Infrastructure NIKET North America LLC — October 2025
Status: Proprietary (Shareable without NDA). No e",,2025-11-04T13:11:53.730675,medium
14,year,2022,,"use is 1–1.5% of world electricity (≈240–415 TWh, 2022–2024). Cooling’s share spans 7–30% depending on e",,2025-11-04T13:11:53.730675,medium
15,year,2024,,"s 1–1.5% of world electricity (≈240–415 TWh, 2022–2024). Cooling’s share spans 7–30% depending on effici",,2025-11-04T13:11:53.730675,medium
16,year,2028,,"on efficiency. U.S. demand could reach 6.7–12% by 2028.
Inventor claims (unverified): 10–100× improvemen",,2025-11-04T13:11:53.730675,medium
17,year,2024,,"• Global/U.S. data-center energy: IEA, DOE, LBNL 2024.
• Quantum sensor benchmarks: NV/SQUID sensitivit",,2025-11-04T13:11:53.730675,medium
18,year,2025,,r Materials Adely@CII-International.com September 2025 TABLE OF CONTENTS: Background,,2025-11-04T13:11:53.730675,medium
19,year,2008,,"ectors through TTT Inc Holding Group between 1985-2008, US government contracting at the Raytheon Advanc",,2025-11-04T13:11:53.730675,medium
20,year,2008,,"Raytheon Advanced Technology Mission Area between 2008-2024, and Adjunct Faculty status in the College o",,2025-11-04T13:11:53.730675,medium
21,year,2024,,"eon Advanced Technology Mission Area between 2008-2024, and Adjunct Faculty status in the College of Eng",,2025-11-04T13:11:53.730675,medium
22,year,2012,,atus in the College of Engineering SIE Department 2012-2024. In the 2017-2020 he was part of a Raytheon,,2025-11-04T13:11:53.730675,medium
23,year,2024,,in the College of Engineering SIE Department 2012-2024. In the 2017-2020 he was part of a Raytheon team,,2025-11-04T13:11:53.730675,medium
