edge_id,from_node_id,to_node_id,relation_type,description,primary_source,confidence,created_by,created_at,updated_at
EDGE_SYS_DRONE_HAS_USECASE,SYS_DRONE_MOTOR_20KW,USECASE_QSMEC_DRONE_MOTOR,USES_CASE,Use case for Q-SMEC optimization.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_DRONE_DESIGNED_BY_SLAVINSKI,SYS_DRONE_MOTOR_20KW,ORG_SLAVINSKI_LAB,DESIGNED_BY,Design authority per emails.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_DRONE_MANUFACTURED_AT_ACOM,SYS_DRONE_MOTOR_20KW,ORG_ACOM_BG,MANUFACTURED_AT,Manufacturing partner.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_DRONE_SUPPLIED_BY_NSK,SYS_DRONE_MOTOR_20KW,ORG_NSK_TR,SUPPLIED_BY,NSK Turkey supplies components.,Nikolay_Email_2025-11-25,medium,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_DRONE_COMMERCIALIZED_BY_NIKET,SYS_DRONE_MOTOR_20KW,ORG_NIKET_NA,COMMERCIALIZED_BY,US commercialization.,Nikolay_Email_2025-11-25,medium,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_DRONE_FUNDED_BY_PHASE1,SYS_DRONE_MOTOR_20KW,PHASE_NRE_TASK1,EXECUTED_IN_PHASE,NRE Task 1 execution.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_DRONE_SUBJECT_TO_DUALUSE,SYS_DRONE_MOTOR_20KW,EXPCTRL_DUALUSE_MOTOR,SUBJECT_TO_EXPORT_CONTROL,Dual-use export category.,Nikolay_Email_2025-11-25,medium,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_DRONE_ASSOC_EMAIL,SYS_DRONE_MOTOR_20KW,EMAILTHREAD_NIKOLAY_ALEX_2025-11-25,ASSOCIATED_EMAIL_THREAD,Context linkage.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_DRONE_OPERATES_ON_EM,SYS_DRONE_MOTOR_20KW,PHYS_EM_INDUCTION,OPERATES_ON_PRINCIPLE,Motor governed by EM induction.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_LASER_HAS_USECASE,SYS_LASER_XRAY_MONO,USECASE_QSMEC_LASER_XRAY,USES_CASE,Use case for Q-SMEC optics.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_LASER_SUPPORTED_BY_NBU,SYS_LASER_XRAY_MONO,ORG_NBU,SUPPORTED_BY,NBU supports laser program.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_LASER_PARTNER_UA,SYS_LASER_XRAY_MONO,ORG_UA_OPTICS,PARTNER_WITH,UA College of Optical Sciences.,Nikolay_Email_2025-11-25,medium,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_LASER_FUNDED_BY_PHASE1,SYS_LASER_XRAY_MONO,PHASE_NRE_TASK1,EXECUTED_IN_PHASE,NRE Task 1 execution.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_LASER_SUBJECT_TO_ITAR,SYS_LASER_XRAY_MONO,EXPCTRL_ITAR_LASER,SUBJECT_TO_EXPORT_CONTROL,ITAR export category.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_LASER_ASSOC_EMAIL,SYS_LASER_XRAY_MONO,EMAILTHREAD_NIKOLAY_ALEX_2025-11-25,ASSOCIATED_EMAIL_THREAD,Context linkage.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
EDGE_LASER_OPERATES_ON_NONLINEAR,SYS_LASER_XRAY_MONO,PHYS_NONLINEAR_OPTICS,OPERATES_ON_PRINCIPLE,Nonlinear optics governs HHG/SHG.,Nikolay_Email_2025-11-25,high,System,2025-11-25T00:00:00Z,2025-11-25T00:00:00Z
